,All,Hard,Soft
" -- magento/module-store",,1,0
" -- magento/module-eav",,1,0

magento/module-encryption-key,2,2,0
" -- magento/module-config",,1,0
" -- magento/module-backend",,1,0

magento/module-fedex,8,8,0
" -- magento/module-store",,1,0
" -- magento/module-shipping",,1,0
" -- magento/module-directory",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-catalog-inventory",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-config",,1,0

magento/module-google-adwords,2,2,0
" -- magento/module-store",,1,0
" -- magento/module-sales",,1,0

magento/module-google-optimizer,6,6,0
" -- magento/module-store",,1,0
" -- magento/module-google-analytics",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-cms",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-ui",,1,0

magento/module-grouped-import-export,5,5,0
" -- magento/module-catalog",,1,0
" -- magento/module-import-export",,1,0
" -- magento/module-catalog-import-export",,1,0
" -- magento/module-grouped-product",,1,0
" -- magento/module-eav",,1,0

magento/module-layered-navigation,2,2,0
" -- magento/module-config",,1,0
" -- magento/module-catalog",,1,0

magento/module-marketplace,1,1,0
" -- magento/module-backend",,1,0

magento/module-new-relic-reporting,6,6,0
" -- magento/module-store",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-configurable-product",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-config",,1,0

magento/module-offline-payments,3,2,1
" -- magento/module-checkout",,1,0
" -- magento/module-payment",,1,0
" -- magento/module-config",,0,1

magento/module-persistent,6,6,0
" -- magento/module-store",,1,0
" -- magento/module-checkout",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-cron",,1,0
" -- magento/module-page-cache",,1,0
" -- magento/module-quote",,1,0

magento/module-product-video,7,5,2
" -- magento/module-catalog",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-media-storage",,1,0
" -- magento/module-store",,1,0
" -- magento/module-customer",,0,1
" -- magento/module-config",,0,1

magento/module-quote-analytics,1,1,0
" -- magento/module-quote",,1,0

magento/module-release-notification,2,2,0
" -- magento/module-user",,1,0
" -- magento/module-backend",,1,0

magento/module-review-analytics,1,1,0
" -- magento/module-review",,1,0

magento/module-sales-analytics,1,1,0
" -- magento/module-sales",,1,0

magento/module-sales-inventory,4,4,0
" -- magento/module-catalog-inventory",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-store",,1,0
" -- magento/module-catalog",,1,0

magento/module-signifyd,9,8,1
" -- magento/module-config",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-store",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-directory",,1,0
" -- magento/module-checkout",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-payment",,1,0
" -- magento/module-config",,0,1

magento/module-sitemap,10,9,1
" -- magento/module-store",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-cms",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-catalog-url-rewrite",,1,0
" -- magento/module-media-storage",,1,0
" -- magento/module-config",,1,0
" -- magento/module-robots",,1,0
" -- magento/module-config",,0,1

magento/module-swagger-webapi,1,1,0
" -- magento/module-swagger",,1,0

magento/module-swatches,11,9,2
" -- magento/module-catalog",,1,0
" -- magento/module-configurable-product",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-store",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-media-storage",,1,0
" -- magento/module-config",,1,0
" -- magento/module-theme",,1,0
" -- magento/module-layered-navigation",,0,1
" -- magento/module-swatches-sample-data",,0,1

magento/module-tax-import-export,4,4,0
" -- magento/module-tax",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-directory",,1,0
" -- magento/module-store",,1,0

magento/module-ups,8,7,1
" -- magento/module-store",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-shipping",,1,0
" -- magento/module-directory",,1,0
" -- magento/module-catalog-inventory",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-config",,0,1

magento/module-webapi-security,1,1,0
" -- magento/module-webapi",,1,0

magento/module-weee,13,12,1
" -- magento/module-store",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-tax",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-directory",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-page-cache",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-checkout",,1,0
" -- magento/module-ui",,1,0
" -- magento/module-bundle",,0,1

magento/module-wishlist-analytics,1,1,0
" -- magento/module-wishlist",,1,0

studioemma/magento2-module-optimus,2,2,0
" -- magento/module-catalog",,1,0
" -- magento/module-cms",,1,0

temando/module-shipping-m2,15,15,0
" -- magento/module-backend",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-checkout",,1,0
" -- magento/module-config",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-directory",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-integration",,1,0
" -- magento/module-multishipping",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-shipping",,1,0
" -- magento/module-store",,1,0
" -- magento/module-tax",,1,0
" -- magento/module-ui",,1,0

vertex/module-tax,16,11,5
" -- magento/module-backend",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-config",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-directory",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-store",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-shipping",,1,0
" -- magento/module-tax",,1,0
" -- magento/module-gift-wrapping",,0,1
" -- magento/module-gift-card-account",,0,1
" -- magento/module-checkout",,0,1
" -- magento/module-multishipping",,0,1
" -- magento/module-reward",,0,1

mageplaza/module-gdpr,1,1,0
" -- mageplaza/module-core",,1,0
